tipo,artista,genero,nombre,año,id
album,Beyoncé,pop,The Lion King: The Gift,2019,552zi1M53PQAX5OH4FIdTx
album,Beyoncé,pop,HOMECOMING: THE LIVE ALBUM,2019,35S1JCj5paIfElT2GODl6x
album,Miley Cyrus,pop,SHE IS COMING,2019,45wbw92Z6V8G8iPKFzSEPN
album,Sia,pop,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019,0ujHQ5WCLuKJQXOqXpGtpf
album,Anitta,pop,Kisses,2019,2BjmOAkaoLqsDQXNvOuzLE
album,Natanael Cano,pop,Mi Nuevo Yo,2019,6HvpgqHcpyXzAdNIioqIoq
album,Natanael Cano,pop,Corridos Tumbados,2019,0Pr7tJefVMQCh8hy1n8OLr
album,Natanael Cano,pop,Todo Es Diferente,2019,0ECIYdy6byWnFYoY6Bn8CN
album,The Chainsmokers,pop,World War Joy,2019,01GR4NL5O5CZM51k0aejKD
album,Hozier,pop,"Wasteland, Baby! (Special Edition)",2019,7hf5xjz74wwX1wS76DU2Ik
album,Hozier,pop,"Wasteland, Baby!",2019,5j1ZsFyNCsnt62prbs85eE
album,James Arthur,pop,YOU,2019,0cm9LOQUBK3JUgyoRj238z
album,Madonna,pop,Madame X (International Deluxe),2019,3QOVlwTbWtGjLZpdSfYHkR
album,Madonna,pop,Madame X (Deluxe),2019,1G2YEQPXaOj1JZwa3ZiGe8
album,Khalid,pop,Free Spirit,2019,6KT8x5oqZJl9CcnM66hddo
album,Camela,pop,Rebobinando (25 Años),2019,2jLjJWuY0izCSfPIBsfX4c
album,Lewis Capaldi,pop,Divinely Uninspired To A Hellish Extent (Extended Edition),2019,2wiPF3m0ylst0JSk1IvZL8
album,Lewis Capaldi,pop,Divinely Uninspired To A Hellish Extent,2019,5658aM19fA3JVwTK6eQX70
album,Reik,pop,Ahora,2019,4BvD9caT3ZohqNQFcR8dVD
album,Camila Cabello,pop,Romance,2019,3Vsbl0diFGw8HNSjG8ue9m
album,Luis Fonsi,pop,VIDA,2019,5C0YLr4OoRGFDaqdMQmkeH
album,Pritam,pop,Chhichhore,2019,2Svje8vKEM4VCKxoRyAvA4
album,Pritam,pop,Kalank (Original Motion Picture Soundtrack),2019,6oGrVe1XTTji8TBQh5eJit
album,Pritam,pop,Pritam's Musical Journey,2019,577fTJApI722uUIJquR2NT
album,Keane,pop,Cause And Effect (Deluxe),2019,2V3ebysBMSaKfYUcsCWmKX
album,Luis R Conriquez,pop,Corridos 2019 Vol. 2,2019,7qWQtf7ia2Bf8q22TPMn8D
album,Luis R Conriquez,pop,Aqui Seguimos De Pie,2019,5orVNsB3W9HccGcVgU4Khu
album,Luis R Conriquez,pop,Pocos Pero Locos,2019,7c2e7njxIPOTZJ6uTSLOJX
album,P!nk,pop,Hurts 2B Human,2019,6JKkXVEljQJ1wKbRG5MywC
album,The Cure,pop,Curaetion-25: From There To Here | From Here To There (Live),2019,1ahpXI6Bt5O4riIW0frHmR
album,The Cure,pop,Anniversary: 1978 - 2018 Live In Hyde Park London,2019,3rK1q79KbTporCJVvbMNUX
album,Kany García,pop,Contra el Viento,2019,16nUcmZoEneQGzyvqpXrGr
album,Bee Gees,pop,Spick And Span,2019,0t4a5emVNONzZYY0fYQ8JA
album,Greeicy,pop,Baila,2019,0ZrbrBx1Rkc7hq3hDKdOmH
album,Burna Boy,pop,African Giant,2019,79lrrUvUyIuOD12b5taQVP
album,The Cranberries,pop,In the End,2019,4cfq0YAgWhhIqTkVkYyvbC
album,Shreya Ghoshal,pop,Banal Rahe Senur Sringaar - Special Teej Tyohaar Geet 2019,2019,4EwB0RRGFymjhooEZg5Pts
album,Shreya Ghoshal,pop,Parineeta,2019,1ycKFRS4ULKtTp8hDmC2YY
album,Shreya Ghoshal,pop,Voice of Shreya Ghoshal,2019,2Xf4u5w66rTkXwWYlMZiOB
album,Shreya Ghoshal,pop,Thikana,2019,14aLhxPUAzWcqP0s5ohmor
album,Miguel Campello,pop,Miguel Campello en Directo (Madrid 15/12/2018),2019,2VxQoM3CAqsZ0rz1Ur5f0r
album,Julieta Venegas,pop,La Enamorada,2019,0wixYeQxrkuwg0bzGDjtwu
album,Backstreet Boys,pop,DNA,2019,02FX4aLHDNacfV4bMnO9Kv
album,Antonio José,pop,Antídoto,2019,4ZpJcCOJgMYcTtfzTIHAVh
album,El Barrio,pop,El Danzar De Las Mariposas,2020,0RgwIZkaZs8B1t8pw3Q9Ji
album,TINI,pop,TINI TINI TINI,2020,7LP6bUlMdnuqeP2etuw7wI
album,Maka,pop,Maldiciones,2020,1YNdE4njPhMBwMnR72zZzP
album,Maka,pop,Bendiciones,2020,0ixsLxJLDWIEICfl26VNuj
album,Vanesa Martín,pop,Siete veces sí,2020,2J7ZtIM5TD3NwwTu1T1exc
album,Taylor Swift,pop,evermore,2020,2Xoteh7uEpea4TohMxjtaq
album,Taylor Swift,pop,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0PZ7lAru5FDFHuirTkWe9Z
album,Taylor Swift,pop,folklore (deluxe version),2020,1pzvBxYgT6OVwJLtHkrdQK
album,Taylor Swift,pop,folklore,2020,2fenSS68JI1h4Fo296JfGr
album,Fuerza Regida,pop,Pisteando Con La Regida (Vol. 3),2020,43VJC0wCb2qkm1KrIdRYqc
album,Fuerza Regida,pop,Navidad Con La Regida,2020,0yFixxmec99yoUUMPsr6kT
album,Fuerza Regida,pop,"Otro Pedo, Otro Mundo",2020,5qRP84o6qlXu1M4K6zSWib
album,Fuerza Regida,pop,Adicto,2020,2NUfhyZ1jMj2YUAFo753c4
album,Fuerza Regida,pop,Pisteando Con La Regida Vol. 2,2020,3sVXSzrTDtqu3SazsdAKzb
album,David Bisbal,pop,En Tus Planes,2020,4mFgW04qaWGcdhimbOZO8F
album,Dua Lipa,pop,Club Future Nostalgia (DJ Mix),2020,3W04W2HfQ5kVeByxfjbu2C
album,Dua Lipa,pop,Future Nostalgia,2020,5lKlFlReHOLShQKyRv6AL9
album,Aitana,pop,11 RAZONES,2020,0e1CKKCDX94OvUk79Zlr9D
album,Pablo Alborán,pop,Vértigo,2020,3rMqrzAwB0tLlsA9Zrd46L
album,Camilo,pop,Por Primera Vez,2020,6xS6mQz1fQZ6eZE654J15I
album,La Oreja de Van Gogh,pop,Un Susurro en la Tormenta,2020,5jiUxacFSielbr8FpIK5Gt
album,Ariana Grande,pop,Positions,2020,3euz4vS7ezKGnNSwgyvKcd
album,Justin Bieber,pop,Changes,2020,63iWSELt9V1kV6RSMxN7Ii
album,Antonio Orozco,pop,Aviónica,2020,4rgnEx9ojVYnOStRbXQDlb
album,Lady Gaga,pop,Chromatica,2020,05c49JgPmL4Uz2ZeqRx5SP
album,Yves Tumor,pop,Heaven To A Tortured Mind,2020,00R4y0gymycDUv9IVY7VvO
album,Akon,pop,Ain’t No Peace,2020,1Rbika7sn7sLt2SGC7IxXf
album,TWICE,pop,Eyes Wide Open,2020,33jypnU7WULxPaVrjj4RXH
album,TWICE,pop,MORE & MORE,2020,5KsduuDNWzt65TaHzmtciv
album,TWICE,pop,&TWICE (Repackage),2020,64Tvx7Ca3BjA4STHq1wFap
